编号,钩子类型,标签,Hook(0-3s),展开(3-8s),峰值(8-12s),留白(12-15s),评论_引发讨论,评论_深化观点,评论_情感连接
1,speak_for_me,替我说,你不是不想结婚。,你只是还没遇到那个，让你甘心放弃自由的人。,但如果遇到了，晚一点又有什么关系？,#你们是遇到了，还是没遇到？,那句没说的话，后来说了吗？,有些话，说了矫情，不说憋屈。,说不出口的话，总有人会懂。
2,speak_for_me,替我说,有些话你从来不说。,但不代表你不想被懂得。,其实你比谁都渴望有个人，能看穿你的脆弱。,#说了矫情，不说憋屈,你最想替自己说什么？,有些话，说了矫情，不说憋屈。,总会有人听你说完的。
3,speak_for_me,替我说,你不是没人追。,你只是不想要那些敷衍的喜欢。,你在等一个人，知你冷暖，懂你悲欢。,#你们等到那个人了吗？,你最想替自己说什么？,有些话，说了矫情，不说憋屈。,你不需要解释，懂的人自然懂。
4,speak_for_me,替我说,你嘴上说没事。,其实心里翻江倒海。,你不是真的没事，你只是习惯了一个人扛。,#谁不是一边崩溃一边假装没事,那句没说的话，后来说了吗？,不是不想说，是说了也没人懂。,你不需要解释，懂的人自然懂。
5,speak_for_me,替我说,你等的不是晚安。,是安心。,是一个能让你踏实入睡的拥抱。,#晚安不重要，重要的是对谁说,那句没说的话，后来说了吗？,有些话，说了矫情，不说憋屈。,总会有人听你说完的。
6,speak_for_me,替我说,有些委屈。,你从来不对任何人说。,不是因为你不信任，是因为说出来也没用。,#成年人的崩溃就在一瞬间,你们有没有哪句话，一直没说出口？,不是不想说，是说了也没人懂。,说不出口的话，总有人会懂。
7,speak_for_me,替我说,你不是不够好。,你只是没遇到对的人。,别否定自己，你值得更好的。,#值得被爱的人终会遇到对的人,你们有没有哪句话，一直没说出口？,有些话，说了矫情，不说憋屈。,说不出口的话，总有人会懂。
8,speak_for_me,替我说,你删掉又打好的消息。,最后还是没有发出去。,因为你知道，有些话说了不如沉默。,#你们有多少消息是打好又删掉的？,你们有没有哪句话，一直没说出口？,不是不想说，是说了也没人懂。,总会有人听你说完的。
9,speak_for_me,替我说,你假装不在乎的样子。,其实最让人心疼。,因为你比谁都在乎，只是没人看见。,#越假装越让人心疼,你们有没有哪句话，一直没说出口？,其实我们都在等一个能听懂的人。,说不出口的话，总有人会懂。
10,speak_for_me,替我说,有些痛。,只有深夜才敢想。,白天你是个正常人，晚上你才敢做自己。,#一到深夜就EMO的你,你最想替自己说什么？,有些话，说了矫情，不说憋屈。,你不需要解释，懂的人自然懂。
11,speak_for_me,替我说,你不是一个人。,你只是还没遇到同类。,在这世界的某个角落，有人和你一样在等。,#总会遇到的,你们有没有哪句话，一直没说出口？,不是不想说，是说了也没人懂。,你不需要解释，懂的人自然懂。
12,speak_for_me,替我说,你的坚强。,只是因为还没找到可以依靠的人。,但你不需要永远坚强，偶尔软弱也是一种勇气。,#允许自己软弱,你最想替自己说什么？,有些话，说了矫情，不说憋屈。,说不出口的话，总有人会懂。
13,speak_for_me,替我说,你不说。,不代表不想要。,有些渴望，说出来就输了。,#成年人的世界,你最想替自己说什么？,其实我们都在等一个能听懂的人。,总会有人听你说完的。
14,speak_for_me,替我说,你看起来没事。,其实心里翻江倒海。,成年人的崩溃，就是在这一瞬间。,#谁都一样,那句没说的话，后来说了吗？,不是不想说，是说了也没人懂。,说不出口的话，总有人会懂。
15,speak_for_me,替我说,你不是不想努力。,你是不知道为了什么。,没有目标的努力，只是自我感动。,#你找到目标了吗？,你们有没有哪句话，一直没说出口？,有些话，说了矫情，不说憋屈。,说不出口的话，总有人会懂。
16,speak_for_me,替我说,你嘴上说算了。,心里可没打算。,有些事，不是说放就能放的。,#说算了容易，放下难,你们有没有哪句话，一直没说出口？,其实我们都在等一个能听懂的人。,说不出口的话，总有人会懂。
17,speak_for_me,替我说,有些事。,不是忘了，是不想提。,那些伤疤，揭开了还是会疼。,#有些事就让它过去吧,那句没说的话，后来说了吗？,其实我们都在等一个能听懂的人。,总会有人听你说完的。
18,speak_for_me,替我说,你等的那个拥抱。,其实可以自己给自己。,但你缺的，从来不是拥抱。,#缺的是那个人,你们有没有哪句话，一直没说出口？,有些话，说了矫情，不说憋屈。,总会有人听你说完的。
19,speak_for_me,替我说,有些累。,只有自己知道。,你说没事的样子，让人更心疼。,#成年人的世界没有容易二字,你最想替自己说什么？,其实我们都在等一个能听懂的人。,说不出口的话，总有人会懂。
20,speak_for_me,替我说,你不是不想。,你只是怕失望。,期望越高，失望越痛。,#怕失望所以不敢期待,你最想替自己说什么？,有些话，说了矫情，不说憋屈。,总会有人听你说完的。
21,speak_for_me,替我说,你不是社恐。,你只是没遇到感兴趣的人。,遇到喜欢的人，你比谁都主动。,#只是没遇到对的人,你最想替自己说什么？,其实我们都在等一个能听懂的人。,总会有人听你说完的。
22,speak_for_me,替我说,你心里有一句话。,憋了很久了吧？,有时候，说出来反而是一种解脱。,#把话憋在心里会憋出病的,那句没说的话，后来说了吗？,其实我们都在等一个能听懂的人。,说不出口的话，总有人会懂。
